id,파일럿,상위법령명,상위조문번호,상위조문제목,조문문장,위임표지어구,API_위임구분,자동추출_위임형식,대상유형,대상명,L1_위임인가,L2_위임된법형식,L3_확신도,L4_메모,L2_병존형식
G0013,Y,교육감 소속 지방공무원 평정규칙,25,가산점 부여 기준의 공개 등,"① 제23조, 제24조 및 제25조의2에 따른 가산점의 부여 기준ㆍ요건 및 가산점 평정대상기간 등 가산점 부여에 필요한 사항은 해당 지방자치단체의 교육규칙으로 정한다.",교육규칙으로,위임자치법규,조례,자치법규,서울특별시교육청 지방공무원 인사규칙,위임,교육규칙,4,문언이 요구하는 형식은 '교육규칙'(교육감 제정 자치법규) — L2 값 목록 부재로 목록 외 값 기재. '조례'로 강제 매핑하면 자동추출의 자치법규 하위형식 혼동이 은폐됨.,
G0014,Y,지방교육자치에 관한 법률,29,시ㆍ도의회의 교육ㆍ학예에 관한 사무의 지원,① 시·도의회의 교육·학예에 관한 사무를 처리하기 위하여 조례로 정하는 바에 따라 시·도의회의 사무처에 지원조직과 사무직원을 둔다.,조례로,위임자치법규,조례,자치법규,세종특별자치시교육감 소속 지방공무원 정원 조례,위임,조례,5,,
G0015,Y,평생교육법 시행령,14,학습계좌의 운영,사항은 교육부령으로,교육부령,시행규칙,부령,법령,평생교육법 시행규칙,위임,부령,4,절단 문장이나 위임 문형 완결.,
G0016,Y,초ㆍ중등교육법,60,외국인학교,대통령령으로 정하는 사람,대통령령,시행령,대통령령,법령,외국인학교 및 외국인유치원의 설립ㆍ운영에 관한 규정|외국인학교 및 외국인유치원의 설립ㆍ운영에 관한 규정,위임,대통령령,4,절단 문장이나 위임 문형 완결.,
G0017,Y,평생교육법,21,시ㆍ군ㆍ구평생학습관 등의 설치ㆍ운영 등,④ 제1항 및 제2항에 따른 평생학습관의 설치·운영 등에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,인천광역시 영종구 평생교육진흥 조례,위임,조례,5,,
G0018,Y,교육시설 등의 안전 및 유지관리 등에 관한 법률,30,교육시설환경개선기금의 설치 등,④ 기금의 설치ㆍ운용에 관하여 필요한 사항은 조례로 정한다.,사항은 조례로,위임자치법규,조례,자치법규,강원특별자치도교육청 교육시설환경개선기금 설치 및 운용 조례,위임,조례,5,,
G0019,Y,초ㆍ중등교육법 시행령,96,초등학교 졸업자와 동등의 학력인정,교육부령으로 정한다,교육부령,시행규칙,부령,법령,초ㆍ중등교육법 시행규칙,위임,부령,4,절단 문장이나 위임 문형 완결.,
G0020,Y,영유아보육법,21,어린이집의 원장 또는 보육교사의 자격,교육부령으로 정한다,교육부령,시행규칙,부령,법령,영유아보육법 시행규칙,위임,부령,4,절단 문장이나 위임 문형 완결.,
G0021,Y,영유아보육법,18,보육활동보호위원회의 설치ㆍ운영,"② 보육교직원의 보육 활동 보호에 관한 다음 각 호의 사항을 심의하기 위하여 시·도에 시·도보육활동보호위원회를 둔다. 다만, 시·도보육활동보호위원회는 그 기능을 담당하기에 적합한 다른 위원회가 있고 그 위원회의 위원이 제3항에 따른 자격을 갖춘 경우에는 시·도의 조례로 정하는 바에 따라 그 위원회가 시·도보육활동보호위원회의 기능을 대신할 수 있다.",조례로,위임자치법규,조례,자치법규,세종특별자치시 보육교직원 권익 보호 및 지원에 관한 조례,위임,조례,5,,
G0022,Y,어린이ㆍ노인 및 장애인 보호구역의 지정 및 관리에 관한 규칙,2,정의,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,어린이가 자주 왕래하는 곳으로서 조례로,위임자치법규,조례,자치법규,창원시 어린이 통학로 교통안전을 위한 조례,위임,조례,5,,
G0023,Y,교원의 지위 향상 및 교육활동 보호를 위한 특별법,5,학교 안전사고로부터의 보호,법률로 정한다,법률,시행규칙,,법령,학교안전사고 예방 및 보상에 관한 법률,인용,해당없음,4,'따로 법률로 정한다' — 별도 법률에의 유보(입법 지시)로서 하위 규범에의 위임이 아님. API 구분(시행규칙)은 오분류로 판단 — 감사 대상 오류 후보.,
G0024,Y,학교급식법 시행령,17,권한의 위임,"교육감은 법 제20조에 따라 법 제19조에 따른 출입·검사·수거 등, 법 제21조에 따른 행정처분 등의 요청 및 법 제25조에 따른 과태료 부과·징수권한을 조례로 정하는 바에 따라 교육장에게 위임할 수 있다.",조례로,위임자치법규,조례,자치법규,강원특별자치도교육감 행정권한 위임 조례,위임,조례,5,행정권한 위임의 요건·방식 규율을 조례에 위임하는 문언.,
G0025,Y,학원의 설립ㆍ운영 및 과외교습에 관한 법률 시행령,17,교습비등조정위원회,⑥ 제1항부터 제5항까지에서 규정한 사항 외에 조정위원회의 구성·운영 등에 관한 구체적인 사항은 시·도 교육규칙으로 정한다.,교육규칙으로,위임자치법규,조례,자치법규,인천광역시 학원의 설립ㆍ운영 및 과외교습에 관한 조례 시행규칙,위임,교육규칙,4,문언이 요구하는 형식은 '교육규칙'(교육감 제정 자치법규) — L2 값 목록 부재로 목록 외 값 기재. '조례'로 강제 매핑하면 자동추출의 자치법규 하위형식 혼동이 은폐됨.,
G0026,Y,영유아보육법 시행규칙,24,국공립어린이집의 운영위탁,"⑨ 어린이집의 운영 위탁에 관한 구체적인 사항은 국립어린이집의 경우 교육부장관이 정하고, 공립어린이집의 경우 지방자치단체의 조례로 정한다.",조례로,위임자치법규,조례,자치법규,부산광역시 북구 영유아 보육 조례,위임,조례,4,"국립=교육부장관(형식 무지정)/공립=조례 병렬 위임 — 본 행 표본 축(표지어구) 기준 조례 기재, 미특정 축 병존.",미특정
G0027,Y,평생교육법,14,시ㆍ군ㆍ자치구평생교육협의회,④ 시·군·구협의회의 구성·운영 등에 필요한 사항은 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,칠곡군 평생교육 진흥 조례,위임,조례,5,,
G0028,Y,초ㆍ중등교육법 시행령,91,특성화고등학교 지정ㆍ운영위원회,② 제1항에 따른 특성화고등학교 지정·운영위원회의 구성 및 운영에 필요한 사항은 시·도 교육규칙으로 정한다.,교육규칙으로 정한다,위임자치법규,조례,자치법규,전라남도 특성화중ㆍ특수목적고ㆍ특성화고의 지정ㆍ운영 등에 관한 규칙,위임,교육규칙,4,문언이 요구하는 형식은 '교육규칙'(교육감 제정 자치법규) — L2 값 목록 부재로 목록 외 값 기재. '조례'로 강제 매핑하면 자동추출의 자치법규 하위형식 혼동이 은폐됨.,
G0029,Y,유아교육법 시행령,33,방과후 과정 운영 등에 대한 지원,② 특별시장·광역시장·특별자치시장·도지사·특별자치도지사 및 시장·군수·구청장은 조례로 정하는 바에 따라 제1항 각 호의 경비의 전부 또는 일부를 방과후 과정을 운영하거나 제12조에 따른 수업일수를 초과하여 운영하는 유치원에 지원할 수 있다.,조례로,위임자치법규,조례,자치법규,충청남도 사립유치원 유아교육비 지원에 관한 조례,위임,조례,5,,
G0030,Y,영유아보육법 시행규칙,24,국공립어린이집의 운영위탁,"⑨ 어린이집의 운영 위탁에 관한 구체적인 사항은 국립어린이집의 경우 교육부장관이 정하고, 공립어린이집의 경우 지방자치단체의 조례로 정한다.",조례로,위임자치법규,조례,자치법규,고령군 어린이집 운영 조례,위임,조례,4,"국립=교육부장관(형식 무지정)/공립=조례 병렬 위임 — 본 행 표본 축(표지어구) 기준 조례 기재, 미특정 축 병존.",미특정
G0031,Y,교육공무원법,23,인사관리의 전자화,대통령령으로 정한다,대통령령,시행규칙,대통령령,법령,교육공무원 인사기록 및 인사사무 처리 규칙,위임,대통령령,4,절단('대통령령으로 정한다'). API 구분(시행규칙)이 문언(대통령령)과 불일치 — 감사 대상 오류 후보.,
G0032,Y,학교안전사고 예방 및 보상에 관한 법률,39,유족급여,사항은 대통령령으로,대통령령,시행령,대통령령,법령,학교안전사고 예방 및 보상에 관한 법률 시행령,위임,대통령령,4,절단 문장이나 위임 문형 완결.,
G0033,Y,평생교육법,28,평생교육기관의 설치자,③ 제2조제2호가목에 따른 평생교육기관의 설치자는 특별시ㆍ광역시ㆍ특별자치시ㆍ도ㆍ특별자치도(이하 “시ㆍ도”라 한다)의 조례로 정하는 바에 따라 평생교육시설의 운영과 관련하여 그 시설의 이용자에게 발생한 생명ㆍ신체상의 손해를 배상할 것을 내용으로 하는 보험가입 또는 공제사업에의 가입 등 필요한 안전조치를 하여야 한다,조례로,위임자치법규,조례,자치법규,경상북도 평생교육진흥에 관한 조례,위임,조례,5,,
G0034,Y,지방교육행정기관의 행정기구와 정원기준 등에 관한 규정,20,정원의 규정,"② 제13조에 따른 단위기관별 정원은 제1항에 따른 정원의 총수 범위에서 종류별ㆍ직급별로 구분하여 해당 시ㆍ도의 조례로 정한다. 다만, 다음 각 호의 어느 하나에 해당하는 정원은 조례로 그 총수만 정하고 그 범위에서 제13조제2항에 따른 단위기관별로 해당 시ㆍ도의 교육규칙으로 정한다.",정원은 조례로,위임자치법규,조례,자치법규,충청북도교육감 소속 지방공무원 정원 조례,위임,조례,4,본문 조례 위임 + 단서 교육규칙 병행 위임 — 표지어구 기준 조례 기재(교육규칙 축 병존). G0186과 동일 문장·다른 표본 축.,교육규칙
G0035,Y,지방자치단체의 교육경비 보조에 관한 규정,4,보조의 신청등,①지방자치단체의 장은 해당 연도 보조사업에 대하여 각급학교의 장에게 보조대상사업 및 그 예산액을 통지하고 보조신청서를 제출하도록 하여야 한다. 이 경우 해당 지방자치단체의 조례로 정하는 바에 따라 관할 교육감 또는 교육장을 거쳐 보조대상사업 및 그 예산액을 통지하거나 보조신청서를 제출하게 할 수 있다.,조례로,위임자치법규,조례,자치법규,정선군 교육경비 보조에 관한 조례,위임,조례,5,절차 규율을 조례에 위임('조례로 정하는 바에 따라 …하게 할 수 있다').,
G0036,Y,교원의 지위 향상 및 교육활동 보호를 위한 특별법,19,교육활동 침해행위,대통령령으로 정한다,대통령령,시행령,대통령령,법령,교원의 지위 향상 및 교육활동 보호를 위한 특별법 시행령,위임,대통령령,4,절단 문장이나 위임 문형 완결.,
G0037,Y,시국사건관련 임용제외 교원의 피해회복을 위한 조치에 관한 특별법,5,임용제외기간의 근무 경력 인정에 관한 특례,대통령령으로 정한다,대통령령,시행령,대통령령,법령,시국사건관련 임용제외 교원의 피해회복을 위한 조치에 관한 특별법 시행령,위임,대통령령,4,절단 문장이나 위임 문형 완결.,
G0038,Y,학원의 설립ㆍ운영 및 과외교습에 관한 법률 시행령,5,숙박시설을 갖춘 학교교과교습학원의 등록,"2. 특별시·광역시·특별자치시·도 및 특별자치도(이하 ""시·도""라 한다)의 조례에서 정하는 유치원, 초등학교, 중학교 및 고등학교 또는 이에 준하는 학교에 재학하는 학생에 대한 교습 제한기준을 충족할 것",조례에서,위임자치법규,조례,자치법규,인천광역시 학원의 설립ㆍ운영 및 과외교습에 관한 조례,위임,조례,5,,
G0039,Y,고등교육법,59,규제특례의 관리 및 감독 등,대통령령으로 정한다,대통령령,시행령,대통령령,법령,고등교육법 시행령,위임,대통령령,4,절단 문장이나 위임 문형 완결.,
G0040,Y,대안교육기관에 관한 법률 시행령,7,대안교육기관에 대한 경비 지원,④ 제1항부터 제3항까지의 규정에서 정한 사항 외에 대안교육기관에 대한 경비 지원에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,함평군 학교 밖 청소년 지원에 관한 조례,위임,조례,5,,
G0041,Y,방송통신중학교 및 방송통신고등학교 설치기준령 시행규칙,10,수업료 등,"② 공립 방송통신중학교 및 방송통신고등학교의 수업료등은 특별시·광역시·특별자치시·도 및 특별자치도(이하 ""시·도""라 한다)의 조례로 정한다. 다만, 수업료등의 금액은 해당 시·도의 조례에 따라 정해진 공립 고등학교의 수업료등의 금액보다 적어야 한다.",조례로,위임자치법규,조례,자치법규,인천광역시 학교 수업료 및 입학금에 관한 조례,위임,조례,5,단서(조례에 따라 정해진 수업료와의 비교)는 원용이나 주문은 조례 위임.,
G0042,Y,사립학교교직원 연금법,53,심사의 청구,필요한 사항은 대통령령으로,대통령령,시행령,대통령령,법령,사립학교교직원 연금법 시행령,위임,대통령령,4,절단 문장이나 위임 문형 완결.,
G0043,Y,학교급식법,5,학교급식위원회 등,⑤제3항의 규정에 따른 학교급식지원심의위원회의 구성ㆍ운영과 제4항의 규정에 따른 학교급식지원센터의 설치ㆍ운영에 관하여 필요한 사항은 해당지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,성주군 학교급식 식품비 지원에 관한 조례,위임,조례,5,,
G0044,Y,학점인정 등에 관한 법률 시행령,12,학력인정 절차,교육부령으로 정하는 발급신청서에,교육부령,시행규칙,부령,법령,학점인정 등에 관한 법률 시행규칙,위임,부령,4,절단이나 '교육부령으로 정하는 발급신청서'(서식 부분위임) 문형 완결.,
G0045,Y,평생교육법,24,평생교육사,교육부령으로 정하는,교육부령,시행규칙,부령,법령,평생교육법 시행규칙,위임,부령,4,절단 문장이나 위임 문형 완결.,
G0046,Y,초ㆍ중등교육법,32,기능,14. 그 밖에 대통령령이나 시ㆍ도의 조례로 정하는 사항,조례로,위임자치법규,대통령령,자치법규,서울특별시교육청 공립학교 운영위원회 구성 및 운영 등에 관한 조례,위임,조례,4,"'대통령령이나 시·도의 조례' 복수 형식 — 표본 축 기준 조례 기재, 대통령령 병존(자동추출은 대통령령 축만 포착).",대통령령
G0047,Y,영유아보육법 시행규칙,24,국공립어린이집의 운영위탁,"⑨ 어린이집의 운영 위탁에 관한 구체적인 사항은 국립어린이집의 경우 교육부장관이 정하고, 공립어린이집의 경우 지방자치단체의 조례로 정한다.",조례로,위임자치법규,조례,자치법규,부산광역시 수영구 영유아 보육 조례,위임,조례,4,"국립=교육부장관(형식 무지정)/공립=조례 병렬 위임 — 본 행 표본 축(표지어구) 기준 조례 기재, 미특정 축 병존.",미특정
G0048,Y,방송통신중학교 및 방송통신고등학교 설치기준령,3,교육과정,"② 방송통신중학교와 방송통신고등학교의 교과에 관하여는 「초·중등교육법 시행령」 제43조를 준용한다. 이 경우 각 교과의 교수(敎授) 요지, 과목, 수업시간수, 그 밖에 학습활동에 관한 사항은 국립 방송통신중학교 및 방송통신고등학교는 교육부장관이 정하고, 공립 방송통신중학교 및 방송통신고등학교는 시·도의 교육규칙으로 정한다.",시.도의 교육규칙으로,위임자치법규,조례,자치법규,제주특별자치도 방송통신중학교 및 방송통신고등학교 운영 규칙,위임,교육규칙,4,"국립=장관(형식 무지정)/공립=교육규칙 병렬 — 표본 축 기준 교육규칙(목록 외 값) 기재, 미특정 축 병존. 전문의 준용('제43조를 준용한다') 부분은 인용 성격.",미특정
G0049,Y,영유아보육법 시행규칙,24,국공립어린이집의 운영위탁,"⑨ 어린이집의 운영 위탁에 관한 구체적인 사항은 국립어린이집의 경우 교육부장관이 정하고, 공립어린이집의 경우 지방자치단체의 조례로 정한다.",조례로,위임자치법규,조례,자치법규,남해군 영유아 보육 조례,위임,조례,4,"국립=교육부장관(형식 무지정)/공립=조례 병렬 위임 — 본 행 표본 축(표지어구) 기준 조례 기재, 미특정 축 병존.",미특정
G0050,Y,공교육 정상화 촉진 및 선행교육 규제에 관한 특별법,15,이의신청,대통령령으로 정하는,대통령령,시행령,대통령령,법령,공교육 정상화 촉진 및 선행교육 규제에 관한 특별법 시행령,위임,대통령령,4,절단 문장이나 위임 문형 완결.,
G0051,Y,취업 후 학자금 상환 특별법,19,장기미상환자에 대한 특례,대통령령으로 정하는 일정 배수를,대통령령,시행령,대통령령,법령,취업 후 학자금 상환 특별법 시행령,위임,대통령령,4,절단이나 '대통령령으로 정하는 일정 배수' 부분위임 문형 완결.,
G0052,Y,지방교육행정기관의 행정기구와 정원기준 등에 관한 규정,12,직속기관 등의 하부조직 설치,"③ 직속기관과 교육지원청 소속 기관의 장의 직급, 하부조직 및 그 사무 분장에 관한 사항은 해당 시ㆍ도의 조례 또는 조례의 위임에 따른 교육규칙으로 정한다.",시.도의 조례,위임자치법규,조례,자치법규,경기도교육청 행정기구 설치조례,위임,조례,4,'조례 또는 조례의 위임에 따른 교육규칙' — 표지어구 기준 조례 기재(조례→교육규칙 재위임 경로 병존).,교육규칙
G0053,Y,직업교육훈련 촉진법,7,취업지원센터 설치ㆍ운영,④ 시ㆍ도교육감이 설치한 취업지원센터의 운영 등에 필요한 사항은 시ㆍ도의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,대전광역시교육청 취업지원센터 설치ㆍ운영 조례,위임,조례,5,,
G0054,Y,유아교육법 시행령,22,소위원회,"② 제1항에 따른 소위원회의 구성 및 운영에 필요한 사항은 국립유치원의 경우에는 유치원규칙으로, 공립유치원의 경우에는 시ㆍ도의 조례로, 사립유치원의 경우에는 정관 또는 유치원규칙으로 정한다.",조례로,위임자치법규,조례,자치법규,경상북도립학교운영위원회 설치ㆍ운영에 관한 조례,위임,조례,4,"국립=유치원규칙/공립=조례/사립=정관·유치원규칙 병렬 — 표본 축 기준 조례 기재(유치원규칙·정관은 값 목록 외 형식, 사립 축은 사적 자치규범).",유치원규칙|정관
G0055,Y,교육환경 보호에 관한 법률,5,시ㆍ도교육환경보호위원회 등,대통령령으로 정한다,대통령령,시행령,대통령령,법령,교육환경 보호에 관한 법률 시행령,위임,대통령령,4,절단 문장이나 위임 문형 완결.,
G0056,Y,초ㆍ중등교육법 시행령,41,교원의 자격,대통령령으로 정한다,대통령령,시행령,대통령령,법령,교원자격검정령,위임,대통령령,4,절단 문장이나 위임 문형 완결.,
G0057,Y,법학전문대학원 설치ㆍ운영에 관한 법률,5,설치인가 등,필요한 사항은 대통령령으로,대통령령,시행령,대통령령,법령,법학전문대학원 설치ㆍ운영에 관한 법률 시행령,위임,대통령령,4,절단 문장이나 위임 문형 완결.,
G0058,Y,교과용 도서에 관한 규정,4,국정도서,국정도서는 교육부장관이 정하여 고시하는 교과목의 교과용 도서로 한다,교육부장관이 정하여 고시하는,위임행정규칙,고시,행정규칙,특수교육 교과용도서 구분 고시,위임,고시,5,고시가 국정도서 대상 교과목의 범위를 정하는 부분위임.,
G0059,Y,어린이ㆍ노인 및 장애인 보호구역의 지정 및 관리에 관한 규칙,2,정의,마. 그 밖에 노인이 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,노인이 자주 왕래하는 곳으로서 조례로,위임자치법규,조례,자치법규,속초시 어린이ㆍ노인ㆍ장애인 보호구역 지정 등에 관한 조례,위임,조례,5,,
G0060,Y,유아교육법,16,외국인유치원,대통령령으로 정한다,대통령령,시행령,대통령령,법령,외국인학교 및 외국인유치원의 설립ㆍ운영에 관한 규정,위임,대통령령,4,절단 문장이나 위임 문형 완결.,
G0061,Y,유아교육법,21,원장 등 교원의 유아생활지도,법령과,법령,시행령,,법령,유아교육법 시행령,판단불가,,1,'법령과' 한 어절로 절단 — 판정 불능. 해당 조항 원문은 '법령과 학칙으로 정하는 바에 따라' 구조로 추정되나 문장 단위 판정 원칙상 판단불가. 자동추출 공란과 API(시행령) 모두 재검 필요.,
G0062,Y,영유아보육법 시행규칙,24,국공립어린이집의 운영위탁,"⑨ 어린이집의 운영 위탁에 관한 구체적인 사항은 국립어린이집의 경우 교육부장관이 정하고, 공립어린이집의 경우 지방자치단체의 조례로 정한다.",조례로,위임자치법규,조례,자치법규,고흥군 영유아 보육 지원 조례,위임,조례,4,"국립=교육부장관(형식 무지정)/공립=조례 병렬 위임 — 본 행 표본 축(표지어구) 기준 조례 기재, 미특정 축 병존.",미특정
G0063,Y,인문학 및 인문정신문화의 진흥에 관한 법률,6,인문학 및 인문정신문화 진흥심의회 설치 및 심의사항,세부사항은 대통령령으로,대통령령,시행령,대통령령,법령,인문학 및 인문정신문화의 진흥에 관한 법률 시행령,위임,대통령령,4,절단 문장이나 위임 문형 완결.,
G0064,Y,대안교육기관에 관한 법률 시행령,7,대안교육기관에 대한 경비 지원,④ 제1항부터 제3항까지의 규정에서 정한 사항 외에 대안교육기관에 대한 경비 지원에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,해남군 학교 밖 청소년 보호 및 지원에 관한 조례,위임,조례,5,,
G0065,Y,평생교육법,31,학교형태의 평생교육시설,⑥ 지방자치단체는 해당 지방자치단체의 조례로 정하는 바에 따라 예산의 범위 내에서 「초ㆍ중등교육법」 제2조의 학교에 준하여 제2항에 따른 학력인정 평생교육시설에 필요한 보조금을 교부하거나 그 밖의 지원을 할 수 있다.,조례로,위임자치법규,조례,자치법규,인천광역시교육청 학력인정 평생교육시설 지원에 관한 조례,위임,조례,5,,
G0066,Y,학교안전사고 예방 및 보상에 관한 법률,8,학교안전교육의 실시,교육부령으로 정하는,교육부령,시행규칙,부령,법령,학교안전사고 예방 및 보상에 관한 법률 시행규칙,위임,부령,4,절단 문장이나 위임 문형 완결.,
G0067,Y,어린이ㆍ노인 및 장애인 보호구역의 지정 및 관리에 관한 규칙,2,정의,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,어린이가 자주 왕래하는 곳으로서 조례로,위임자치법규,조례,자치법규,울산광역시 동구 어린이 통학로 교통안전을 위한 조례,위임,조례,5,,
G0068,Y,지방교육자치에 관한 법률,41,지방교육행정협의회의 설치,②제1항의 규정에 따른 지방교육행정협의회의 구성·운영에 관하여 필요한 사항은 교육감과 시·도지사가 협의하여 조례로 정한다.,조례로,위임자치법규,조례,자치법규,경기도교육행정협의회 설치ㆍ운영 조례,위임,조례,5,,
G0069,Y,학생맞춤통합지원법,8,시ㆍ도학생맞춤통합지원센터 및 지역학생맞춤통합지원센터의 설치ㆍ지정,⑥ 그 밖에 시ㆍ도지원센터 또는 지역지원센터의 지정 및 지정 취소의 기준ㆍ절차 등에 필요한 사항은 대통령령으로 정하는 기준에 따라 해당 시ㆍ도의 조례로 정한다.,조례로 정한다.,위임자치법규,대통령령,자치법규,서울특별시교육청 학생맞춤통합지원 조례,위임,조례,4,"이중 위임: 대통령령이 기준을 정하고 그 기준에 따라 조례가 규율 — 최종 규율 형식(표본 축) 기준 조례 기재, 대통령령 병존(자동추출은 대통령령 축만 포착).",대통령령
G0070,Y,지방교육자치에 관한 법률,30,보조기관,"⑤교육감 소속하에 보조기관을 두되, 그 설치·운영 등에 관하여 필요한 사항은 대통령령으로 정한 범위 안에서 조례로 정한다.",조례로,위임자치법규,대통령령,자치법규,경기도교육청 행정기구 설치조례,위임,조례,4,"'대통령령으로 정한 범위 안에서 조례로 정한다' — 표본 축 기준 조례 기재, 대통령령 병존(자동추출은 대통령령 축).",대통령령
G0071,Y,초ㆍ중등교육법 시행령,98,고등학교 졸업자와 동등의 학력인정,교육부령으로 정한다,교육부령,시행규칙,부령,법령,학력인정학교지정규칙|초ㆍ중등교육법 시행규칙,위임,부령,4,절단 문장이나 위임 문형 완결.,
G0072,Y,대안교육기관에 관한 법률 시행령,7,대안교육기관에 대한 경비 지원,④ 제1항부터 제3항까지의 규정에서 정한 사항 외에 대안교육기관에 대한 경비 지원에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,공주시 대안교육기관 지원 조례,위임,조례,5,,
