id,조문문장,T5_L1,T5_L2,T5_확신도,T5_근거
P00020,③ 법 제10조제1항 단서에 따라 외국교육기관에 입학할 수 있는 내국인 학생 수의 비율은 해당 외국교육기관 학생정원의 30퍼센트의 범위에서 위원회가 조정하는 비율로 한다. 이 경우 교육감이 특별시·광역시 또는 도의 교육여건을 고려하여 학생정원의 20퍼센트의 범위에서 특별시·광역시 또는 도의 교육규칙으로 입학비율을 추가로 높일 수 있다.,위임,교육규칙,5,"문장이 교육감에게 학생정원의 일정 범위 내에서 입학비율을 추가로 높일 수 있도록 규율권한을 부여하므로 위임으로 판단되며, 법형식으로 '교육규칙'을 명시하고 있다."
P00021,③ 법 제10조제1항 단서에 따라 외국교육기관에 입학할 수 있는 내국인 학생 수의 비율은 해당 외국교육기관 학생정원의 30퍼센트의 범위에서 위원회가 조정하는 비율로 한다. 이 경우 교육감이 특별시·광역시 또는 도의 교육여건을 고려하여 학생정원의 20퍼센트의 범위에서 특별시·광역시 또는 도의 교육규칙으로 입학비율을 추가로 높일 수 있다.,위임,교육규칙,5,문장이 교육감에게 일정 범위(학생정원의 20퍼센트 범위)에서 입학비율을 '교육규칙으로' 정하도록 직접 규율권한을 부여하므로 위임이며 법형식으로 '교육규칙'을 명시하고 있다.
P00022,③ 법 제10조제1항 단서에 따라 외국교육기관에 입학할 수 있는 내국인 학생 수의 비율은 해당 외국교육기관 학생정원의 30퍼센트의 범위에서 위원회가 조정하는 비율로 한다. 이 경우 교육감이 특별시·광역시 또는 도의 교육여건을 고려하여 학생정원의 20퍼센트의 범위에서 특별시·광역시 또는 도의 교육규칙으로 입학비율을 추가로 높일 수 있다.,위임,교육규칙,5,교육감이 범위를 정하여 '교육규칙으로 입학비율을 추가로 높일 수 있다'는 표현은 하위 규범에 규율권한을 부여하는 위임 규정이다.
P00023,"② 제1항제1호, 제1호의2, 제2호 및 제3호의 기준에 대한 구체적인 내용은 교육부장관이 정한다.",위임,미특정,5,"문장이 종결형으로 '구체적인 내용은 교육부장관이 정한다'라고 하여 규율권한을 하위 규범에 넘기므로 위임이며, 법형식은 '교육부장관이 정한다'로 특정 법형식을 명시하지 않아 미특정이다."
P00024,8. 그 밖에 신청기관의 지정 여부를 심의하기 위하여 교육부장관이 정하는 자료,위임,미특정,5,"문장이 '교육부장관이 정하는 자료'라고 하여 교육부장관에게 어떤 자료를 규정할 권한을 부여하므로 위임에 해당하고, 특정 법형식을 명시하지 않아 '미특정'으로 판정함."
P00025,대통령령으로 정하는,판단불가,대통령령,3,문장이 불완전하여 맥락 없이 단어만 제시됨. 다만 표지어구와 문언 '대통령령으로 정하는'은 일반적으로 하위규범에 규율권한을 넘기는 위임 표현이므로 법형식은 대통령령으로 판정함.
P00026,대통령령으로 정하는,판단불가,대통령령,3,문장이 불완전하게 잘려 있어 위임인지 인용인지 문구만으로 판단이 불가하나 표지어구로 '대통령령'이 제시되어 있어 법형식은 대통령령으로 표기함.
P00027,대통령령으로 정하는,위임,대통령령,4,문장이 '대통령령으로 정하는'으로 끝나며 규율권한을 하위규범(대통령령)에 넘기는 전형적 위임 표현이다.
P00028,필요한 사항은 대통령령으로,위임,대통령령,5,문장이 '필요한 사항은 대통령령으로'로 끝나며 규율권한을 대통령령에 넘기는 위임형 표현이다.
P00029,대통령령으로 정한다,위임,대통령령,5,문장이 종결형 '대통령령으로 정한다'로 규율권한을 하위 규범(대통령령)에 넘긴다.
P00030,대통령령으로 정한다,위임,대통령령,5,종결형으로 '정한다'며 규율권한을 대통령령에 위임하는 문언이다.
P00031,대통령령으로 정한다,위임,대통령령,5,문장이 종결형으로 '대통령령으로 정한다'라고 규율권한을 하위 규범(대통령령)에 명시적으로 이양하고 있다.
P00032,대통령령으로 정한다,위임,대통령령,5,문장이 종결형 '대통령령으로 정한다'로 명백히 규율권한을 대통령령에 넘기고 있다.
P00033,따로 법률로 정한다,위임,미특정,5,문장이 '따로 법률로 정한다'로 하위 규범에 규율권한을 넘기며 구체적 법형식을 '법률'을 제시했으나 통상 문언상 장차 정할 주체·형식을 지정하지 않아 미특정으로 분류함.
P00034,따로 법률로 정한다,판단불가,해당없음,3,문장이 단절되어 있어 '따로 법률로 정한다'만으로는 위임인지 인용인지 불명확하다—일반적으로 종결형이면 상위법에서 하위법에 위임하는 문언이나 타법률에 위임을 지시할 수 있으나 문맥 없이 판정 불가.
P00035,교육부령으로 정한다,위임,부령,5,문장이 종결형으로 '교육부령으로 정한다'라고 규율권한을 하위규범(교육부령)으로 위임한다. 표지어구가 '교육부령'으로 명시되어 있어 형식은 부령.
P00036,대통령령으로 정하는,위임,대통령령,5,문장이 대통령령에 규율권한을 넘기는 종결형 축약 표현으로 보이며 법형식을 명시하여 위임이다.
P00037,대통령령으로 정하는 사항,위임,대통령령,5,문장이 '대통령령으로 정하는 사항'으로 규율범위를 대통령령에 위임하는 전형적 위임조문이며 종결형으로 규율권한을 넘긴다.
P00038,대통령령으로 정하는 바에,위임,대통령령,4,"'대통령령으로 정하는 바에'는 규율사항의 범위를 대통령령에 맡기는 전형적 위임 표현이므로 위임으로 보이고, 문언상 법형식은 대통령령이다."
P00039,교육부령으로 정하는,위임,부령,5,문장이 '교육부령으로 정하는'으로 끝나며 규율 사항을 하위 법령(부령)에 위임하는 표현이다.
P00040,대통령령으로 정하는,판단불가,대통령령,3,"문장이 '대통령령으로 정하는'로 미완성되어 규율권한을 넘기는지(위임) 또는 인용인지 문맥 없이 단정할 수 없어 판단불가하나, 명시된 법형식은 대통령령임."
P00041,대통령령으로 정한다,위임,대통령령,5,문장이 종결형으로 상위 규범이 규율사항을 대통령령에 위임하는 명시적 위임표현이다.
P00042,대통령령으로 정하는,판단불가,대통령령,3,"문장이 '대통령령으로 정하는'로 불완전하게 끝나 있어 위임인지 인용인지 문맥 없이 확정 불가하나, 명시된 법형식은 '대통령령'이다."
P00043,대통령령으로 정한다,위임,대통령령,5,문장이 종결형으로 '대통령령으로 정한다'라며 규율권한을 하위법인 대통령령에 넘기고 있다.
P00044,대통령령으로 정한다,위임,대통령령,5,문장이 종결형으로 '대통령령으로 정한다'라고 하여 규율권한을 하위법(대통령령)에게 넘긴다.
P00045,대통령령으로 정하는 임용기준과,위임,대통령령,5,문장이 '대통령령으로 정하는 임용기준'이라며 규율권한을 대통령령에 위임하는 표현으로 끝나 있다.
P00046,대통령령으로 정하는 사항을,위임,대통령령,5,문장이 종결되어 있지 않아도 '대통령령으로 정하는 사항을'이라는 표현은 규율권한을 대통령령에 넘기는 위임형태이다.
P00047,대통령령으로 정하는,판단불가,대통령령,4,"문장이 '대통령령으로 정하는'으로 불완전하게 제시되어 있어 맥락 없이 위임인지 인용인지 확정 불가하나, 문언상 규율 형식으로 대통령령을 지정하고 있어 L2는 대통령령으로 판정함."
P00048,사항은 대통령령으로,판단불가,대통령령,3,문장이 불완전하여 맥락상 위임인지 인용인지 단정할 수 없으나 표지어구에 '대통령령'이 있어 법형식은 대통령령으로 판단함.
P00049,사항은 대통령령으로,판단불가,대통령령,3,문장이 불완전하여 맥락 없이 규율권 승계인지 인용인지 판정 불가. 다만 표지어구에 '대통령령'이 있어 법형식은 대통령령으로 보인다.
P00050,대통령령으로 정하는,판단불가,대통령령,3,"문장이 '대통령령으로 정하는'으로 불완전하게 제시되어 있어 위임인지 인용인지 문맥 없이 단독 판단 불가하나, 명시적 법형식은 대통령령으로 표기되어 있음."
P00051,대통령령으로 정하고,위임,대통령령,5,문장이 종결형 '대통령령으로 정하고'로 규율권한을 대통령령에 넘기고 있어 위임에 해당한다.
P00052,대통령령으로 정하고,위임,대통령령,5,문장이 종결형으로 '대통령령으로 정하고'라며 하위 규범에 정할 사항의 규율권한을 넘기고 있다.
P00053,대통령령으로 정하고,위임,대통령령,5,문장이 대통령령에 규율권한을 넘기는 종결형 표현('대통령령으로 정하고')으로 하위 규범에 사항을 정하도록 위임한다.
P00054,대통령령으로 정하고,위임,대통령령,5,문장이 종결형 '대통령령으로 정하고'로 상위 규범이 규율권한을 대통령령에 넘긴다.
P00055,대통령령으로 정하고,위임,대통령령,5,종결형 '대통령령으로 정하고'로 규율권한을 하위규범(대통령령)에 넘기는 위임 표현이다.
P00056,"① 학교의 명칭은 국립학교는 대통령령으로 정하고, 공립학교는 해당 지방자치단체의 조례로 정하며, 사립학교는 해당 학교법인의 정관으로 정한다.",위임,대통령령|조례,5,문장이 학교 명칭의 결정 권한을 하위 규범(대통령령·조례·정관)에 명시적으로 넘기고 있어 포괄적·부분적 위임에 해당함. 다만 문언에 '정관'도 있으나 표지어구가 '조례로'여서 병기된 법형식 중 관련 항목으로 대통령령과 조례를 나열함.
P00057,"① 학교의 명칭은 국립학교는 대통령령으로 정하고, 공립학교는 해당 지방자치단체의 조례로 정하며, 사립학교는 해당 학교법인의 정관으로 정한다.",위임,대통령령|조례,5,"학교 명칭의 결정 권한을 상위법이 각 형식에 위임하고 있어 규율권한을 넘기는 위임 규정이며, 문장에 대통령령과 조례(및 정관)가 병기되어 있어 대통령령|조례로 표기함."
P00058,"① 학교의 명칭은 국립학교는 대통령령으로 정하고, 공립학교는 해당 지방자치단체의 조례로 정하며, 사립학교는 해당 학교법인의 정관으로 정한다.",위임,대통령령|조례,5,"문장은 학교 명칭의 규율권한을 하위 규범들(대통령령·조례·정관)에게 분배하므로 위임이며, 법문에 대통령령과 조례가 명시되어 있어 두 형식을 '|'로 연결한다."
P00059,"① 학교의 명칭은 국립학교는 대통령령으로 정하고, 공립학교는 해당 지방자치단체의 조례로 정하며, 사립학교는 해당 학교법인의 정관으로 정한다.",위임,대통령령|조례,5,"문장이 학교 명칭의 규범적 정함을 특정 법형식에 맡기며 규율권한을 넘기고 있고, 대통령령과 조례가 병기되어 있어 둘을 '|'로 연결함. (사립학교 정관은 법형식이지만 요청 표지어구가 '조례로'이므로 병기된 부분 중 조례 포함된 형태로 표기함)"
P00060,대통령령으로 정하는,위임,대통령령,5,종결형 '대통령령으로 정하는'으로 규율권한을 하위 규범(대통령령)에 넘기고 있어 위임에 해당한다.
P00061,대통령령으로 정하는,위임,대통령령,5,미완성 구문이나 일부 문장이지만 '대통령령으로 정하는'은 규율권한을 대통령령에 넘기는 전형적 위임 표현이다.
P00062,대통령령과 학칙으로,판단불가,대통령령,3,문장이 불완전하여 맥락 없이 규율권한을 넘기는지(위임)인지 또는 단순 병기인지 판단하기 어렵다. 다만 표지어구가 '대통령령'이므로 법형식으로는 대통령령이 명시되어 있다.
P00063,대통령령과 학칙으로,판단불가,대통령령,3,문장이 단절되어 전체 문맥과 동사·목적어가 없어 위임인지 인용인지 판정 불가하나 표지어구가 '대통령령'이므로 법형식은 대통령령으로 기재함.
P00064,대통령령과 학칙으로,판단불가,대통령령,3,문장이 불완전하여 맥락 없이 단순 부분(‘대통령령과 학칙으로’)만 주어짐. 다만 표지어구가 '대통령령'으로 제시되어 있어 법형식은 대통령령으로 표기함.
P00065,대통령령과 학칙으로,판단불가,미특정,3,문장이 단편적('대통령령과 학칙으로')이고 맥락(어떤 사항을 ~로 정한다 등)이 없어 위임·인용 판단 불가. 다만 법형식으로 대통령령과 학칙(교육규칙/학칙)이 병기되어 있어 형식은 명시되어 있으나 문장의 완결성 부족으로 확정 불가.
P00066,"② 학교의 조직에 관한 기본적 사항은 국립학교는 대통령령과 학칙으로 정하고, 공립학교는 해당 지방자치단체의 조례와 학칙으로 정하며, 사립학교는 해당 학교법인의 정관과 학칙으로 정한다.",위임,조례,5,문장이 '공립학교는 해당 지방자치단체의 조례와 학칙으로 정한다'라고 명시해 규율권한을 조례에 위임하고 있다.
P00067,"② 학교의 조직에 관한 기본적 사항은 국립학교는 대통령령과 학칙으로 정하고, 공립학교는 해당 지방자치단체의 조례와 학칙으로 정하며, 사립학교는 해당 학교법인의 정관과 학칙으로 정한다.",위임,조례,5,"문장이 각 학교 유형별로 조직에 관한 기본적 사항을 특정 하위법령(국립: 대통령령·학칙, 공립: 조례·학칙, 사립: 정관·학칙)에 위임하고 있어, '조례와' 표지어구는 공립학교 부분에서 조례를 지정한다."
P00068,"② 학교의 조직에 관한 기본적 사항은 국립학교는 대통령령과 학칙으로 정하고, 공립학교는 해당 지방자치단체의 조례와 학칙으로 정하며, 사립학교는 해당 학교법인의 정관과 학칙으로 정한다.",위임,조례,5,"문장이 학교 조직에 관한 기본적 사항을 각 법형식(국립은 대통령령과 학칙, 공립은 조례와 학칙, 사립은 정관과 학칙)으로 정한다고 규정하여 규율권한을 하위 규범에 넘긴다. 요청된 표지어구 '조례와'에 해당하는 법형식은 조례임."
P00069,"② 학교의 조직에 관한 기본적 사항은 국립학교는 대통령령과 학칙으로 정하고, 공립학교는 해당 지방자치단체의 조례와 학칙으로 정하며, 사립학교는 해당 학교법인의 정관과 학칙으로 정한다.",위임,대통령령|조례|해당없음,4,"문장이 학교 조직의 '기본적 사항은 ...로 정한다'라고 규율권한을 하위 규범(대통령령, 조례, 정관 등)에게 넘기므로 위임에 해당. 문언상 국립학교는 대통령령, 공립학교는 조례, 사립학교의 '해당 학교법인의 정관'은 특정 법형식을지만 '학칙'은 개별 학교의 규칙으로 교육규칙/미특정으로 분류하기 모호하므로 조례와 함께 병기된 형식은 '대통령령|조례|해당없음'으로 처리함."
P00070,"② 학교의 조직에 관한 기본적 사항은 국립학교는 대통령령과 학칙으로 정하고, 공립학교는 해당 지방자치단체의 조례와 학칙으로 정하며, 사립학교는 해당 학교법인의 정관과 학칙으로 정한다.",위임,대통령령|조례,4,문장이 학교의 조직에 관한 기본적 사항을 각 법형식(대통령령·조례·정관)으로 정하도록 규율권한을 넘기고 있어 위임으로 판단된다. 다만 학칙은 제외하고 문언상 명시된 법형식을 병기하여 연결함.
P00071,"② 학교의 조직에 관한 기본적 사항은 국립학교는 대통령령과 학칙으로 정하고, 공립학교는 해당 지방자치단체의 조례와 학칙으로 정하며, 사립학교는 해당 학교법인의 정관과 학칙으로 정한다.",위임,조례,5,"문장이 '공립학교는 해당 지방자치단체의 조례와 학칙으로 정하며'로 공립학교 조직의 기본적 사항을 조례에 정하도록 규율권한을 넘기고 있어 위임이며, 지정된 법형식은 '조례'이다."
P00072,"② 학교의 조직에 관한 기본적 사항은 국립학교는 대통령령과 학칙으로 정하고, 공립학교는 해당 지방자치단체의 조례와 학칙으로 정하며, 사립학교는 해당 학교법인의 정관과 학칙으로 정한다.",위임,대통령령|조례,5,문장이 학교 조직의 기본적 사항을 각 법형식(대통령령·조례·정관 등)으로 정하도록 명시하여 규율권한을 하위 규범에 넘긴다.
P00073,"② 학교의 조직에 관한 기본적 사항은 국립학교는 대통령령과 학칙으로 정하고, 공립학교는 해당 지방자치단체의 조례와 학칙으로 정하며, 사립학교는 해당 학교법인의 정관과 학칙으로 정한다.",위임,조례,5,문장이 학교의 조직에 관한 기본적 사항을 하위 규범(조례 등)으로 정하도록 명시하여 규율권한을 넘긴다. 표지어구가 '조례와'로 지방자치단체 조례를 직접 지시하므로 법형식은 '조례'.
P00074,심의에 필요한 경우 대통령령으로,위임,대통령령,5,문장이 '심의에 필요한 경우 대통령령으로'로 끝나며 대통령령에 규율권한을 넘겨 심의 관련 사항을 정하도록 하는 위임형 어구이다.
P00075,대통령령으로 정하는 사항에 대해서는 대학평의원회의,위임,대통령령,5,문장이 '대통령령으로 정하는 사항에 대해서는'이라며 규율권한을 대통령령에 넘기는 위임 표현이다.
P00076,대통령령으로 정하는 바에 따라 해당 학교법인의,위임,대통령령,4,문장이 '대통령령으로 정하는 바에 따라'로 끝나며 규율권한 일부를 대통령령에 위임하는 표현이다.
P00077,대통령령으로 정하는 기준에 따라 학칙,위임,대통령령,5,문장이 '대통령령으로 정하는 기준에 따라 학칙'으로 끝나 규율권한을 대통령령에 넘기며 명시적 법형식은 대통령령이다.
P00078,대통령령으로 정하는,판단불가,대통령령,4,문장이 단절되어 있어 문맥상 위임인지 인용인지 판정 불가하지만 표지어구로 '대통령령'이 명시되어 있어 법형식은 대통령령으로 표기함.
P00079,대통령령으로 정하는,위임,대통령령,5,문장이 '대통령령으로 정하는'으로 종결되어 하위 규범에 규율권한을 넘기고 구체적 사항을 대통령령에 위임한다.
P00080,대통령령으로 정하는,위임,대통령령,5,문장이 '대통령령으로 정하는' 형태로 끝나며 규율권한을 대통령령에 넘기는 전형적 위임 표현이다.
P00081,대통령령으로 정한다,위임,대통령령,5,문장이 종결형으로 '대통령령으로 정한다'라고 규율권한을 하위규범에 넘기고 있어 포괄적 위임에 해당한다.
P00082,대통령령으로 정하는,위임,대통령령,5,문장이 종결형으로 '대통령령으로 정하는'이라고 규율사항을 하위법령인 대통령령에 위임하고 있어 규율권한을 넘긴다.
P00083,대통령령으로 정한다,위임,대통령령,5,문장이 종결형으로 '대통령령으로 정한다'라 하여 규율권한을 하위 규범(대통령령)으로 명시적으로 넘긴다.
P00084,대통령령으로 정하는,위임,대통령령,5,"문장이 '대통령령으로 정하는'으로 규율권한을 하위 규범(대통령령)에 넘기는 포괄적 위임 형태이므로 위임이며, 명시된 법형식은 대통령령이다."
P00085,대통령령으로 정하는,판단불가,대통령령,4,문장이 불완전한 상태로 맥락 없이 단어만 있어 규율권한을 넘기는지 여부를 확정하기 어렵다. 다만 표지어구에 '대통령령'이 있으므로 법형식은 대통령령으로 판단함.
P00086,사항은 대통령령으로,판단불가,대통령령,3,문장이 불완전하여 맥락 없이 판단이 어렵지만 표지어구와 문언('대통령령으로')은 위임형식을 지시하므로 법형식은 대통령령으로 표기함.
P00087,필요한 사항은 대통령령으로,판단불가,대통령령,3,문장이 '필요한 사항은 대통령령으로'로 미완성되어 있어 의도는 대통령령에 위임하는 것으로 보이나 문장이 잘려 전체 맥락이나 종결형이 없어 완전한 판정이 불가함. 표지어구가 '대통령령'으로 제시되어 법형식은 대통령령으로 표기함.
P00088,대통령령으로 정하는,판단불가,대통령령,3,문장이 불완전한 절단 상태로 맥락이 없어 위임인지 인용인지 확정 불가하나 표지어구에 '대통령령'이 있어 법형식은 대통령령으로 보임.
P00089,대통령령으로 정하는,위임,대통령령,5,문장이 종결되지 않았지만 '대통령령으로 정하는'은 규율 권한을 하위 규범(대통령령)에 넘기는 전형적 위임 표현이다.
P00090,대통령령으로 정한다,위임,대통령령,5,문장이 종결형으로 '대통령령으로 정한다'라고 규율권한을 하위 규범에 넘기고 있어 위임에 해당한다.
P00091,대통령령으로 정하는,위임,대통령령,5,문장이 '대통령령으로 정하는'으로 끝나며 규율권한을 대통령령에 넘기는 위임형태의 문언이다.
P00092,대통령령으로 정하는,위임,대통령령,4,문장이 '대통령령으로 정하는'으로 끝나며 규율권한을 대통령령에 넘기는 표지어구 형태이므로 위임으로 판단된다.
P00093,대통령령으로 정하는,위임,대통령령,5,문장이 '대통령령으로 정하는'으로 끝나며 규율권한을 대통령령에 넘기는 포괄적 위임 표현이다.
P00094,사항은 대통령령으로,위임,대통령령,3,문장이 불완전하나 '사항은 대통령령으로'라는 표현은 규율권한을 하위 법령(대통령령)으로 넘기는 위임형식으로 해석됨.
P00095,사항은 대통령령으로,판단불가,대통령령,3,문장이 불완전하여 맥락(어떤 사항을 대통령령으로 정하는지)이 없어 위임인지 인용인지 단정할 수 없다. 다만 표지어구에 '대통령령'이 있어 법형식은 대통령령으로 표기함.
P00096,사항은 대통령령으로,판단불가,대통령령,4,문장이 미완성되어 구체적 의미·종결어가 없어 위임인지 인용인지 확정할 수 없으나 표지어구에 '대통령령'이 있어 형식은 대통령령으로 지정됨.
P00097,사항은 대통령령으로,판단불가,대통령령,4,"문장이 불완전하여 전체 문맥이나 목적어(무엇을 대통령령으로 정하는지)가 없어 위임인지 인용인지 확정 불가하나, 표지어구가 '대통령령'이므로 법형식은 대통령령으로 표기함."
P00098,법률로 정한다,위임,해당없음,3,"문장이 '법률로 정한다'로 상위법(법률)에 규율을 맡기는 표현이므로 하위 규범에 규율권한을 넘긴다는 의미의 위임으로 보이나, 지정된 법형식이 '법률'은 통상 상위법이므로 출력 규칙상 해당없음 처리함. 문장이 짧아 다소 불확실함."
P00099,대통령령으로 정한다,위임,대통령령,5,문장이 간결한 종결형 '대통령령으로 정한다'로 규율권한을 하위규범(대통령령)에 넘기는 위임이다.
P00100,대통령령으로 정하는,판단불가,대통령령,3,문장이 불완전하여 맥락 없이 규율권한 이전인지 인용인지 판정 불가하나 표지어구가 '대통령령'으로 명시되어 있어 법형식은 대통령령으로 표기함.
P00101,대통령령으로 정하는,판단불가,대통령령,3,문장이 불완전하여 맥락과 전체 구문이 없어 위임인지 인용인지 판정 불가하지만 표지어구가 '대통령령'으로 명시되어 법형식은 대통령령으로 보인다.
P00102,대통령령으로 정하는,판단불가,대통령령,3,문장이 '대통령령으로 정하는'으로 불완전하여 위임인지 인용인지 문맥 없이 판정 불가하지만 표지어구에 '대통령령'이 있어 법형식은 대통령령으로 표기함.
P00103,대통령령으로 정하는,위임,대통령령,5,문장이 '대통령령으로 정하는'으로 종결되어 하위 규범에 정할 사항의 범위를 넘기는 위임형태이다.
P00104,대통령령으로 정하는,판단불가,대통령령,4,문장이 '대통령령으로 정하는'처럼 미완성된 구문으로 맥락 없이 단독 판정이 불가하나 문언상 규율형식을 대통령령으로 지정하고 있어 L2는 대통령령으로 표기함.
P00105,대통령령으로 정하는,판단불가,대통령령,4,"문장이 미완성(‘대통령령으로 정하는’만 있어 규율권한 전부인지 일부인지, 무엇을 정하는지 문맥 없이 판정 불가하나 표지어구에 대통령령 명시되어 법형식은 대통령령으로 기록함)."
P00106,대통령령으로 정하는,판단불가,대통령령,4,문장이 미완성(후속 내용이 없어 규율권한의 위임인지 단순 언급인지 판단 불가). 다만 표지어구에 '대통령령'이 있어 법형식은 대통령령으로 표기함.
P00107,대통령령으로 정하는,판단불가,대통령령,3,문장이 불완전하여 규율권한을 넘기는지(위임) 또는 단순 지시·인용인지 판정할 수 없음. 다만 표지어구로 '대통령령'이 명시되어 있어 법형식은 대통령령으로 보임.
P00108,교육부령으로 정한다,위임,부령,5,문장이 종결형으로 '교육부령으로 정한다'라고 하여 규율권한을 하위 규범(교육부령)에 넘긴다. 표지어구 '교육부령'은 부령으로 표기한다.
P00109,교육부령으로 정하는,판단불가,미특정,3,문장이 불완전한 구(‘교육부령으로 정하는’)로 끝나 있어 위임인지 인용인지 문맥 없이 단정할 수 없다. 다만 형식 지시는 '교육부령'이므로 L2는 교육부령가 아닌 경우를 대비한 규정에 따라 미특정으로 처리했음.
P00110,교육부장관이 정하는 경미한 부정행위를 한 사람에 대하여는 응시자격을 정지하지 아니한다.,위임,미특정,5,"문장이 '교육부장관이 정하는'이라고 하여 규율권한의 일부를 하위 규범에 위임하고 있으며, 형식을 특정하지 않아 '미특정'으로 판단됨."
P00111,대통령령으로 정하는 특수한 관계에,판단불가,대통령령,3,문장이 불완전하게 잘려 있어 위임인지 인용인지 문맥만으로 판정할 수 없음. 다만 표지어구에 '대통령령'이 있어 법형식은 대통령령으로 표기함.
P00112,산정방법은 교육부령으로,위임,부령,5,"문장이 '산정방법은 교육부령으로'로 끝나며 규율권한을 교육부령에 넘기고 있어 위임이고, 표지어구에 '교육부령' 명시되어 있어 법형식은 부령으로 판단됨."
P00113,국민기초생활수급자 등 대통령령으로,위임,대통령령,5,문장이 '대통령령으로'로 끝나며 규율권한(요건·범위 등)을 대통령령에 위임하는 표지어구 형태이다.
P00114,대통령령으로 정하는 바에 따라 입학전형료의,위임,대통령령,5,문장이 '대통령령으로 정하는 바에 따라'로 규율권한을 대통령령에 넘기며 요건·절차 등을 위임하는 전형적 위임 표현이다.
P00115,못하는 경우 등 대통령령으로,판단불가,대통령령,4,문장이 불완전하여 위임인지 인용인지 명확하지 않으나 표지어구에 '대통령령'이 있어 법형식은 대통령령으로 보인다.
P00116,잔액을 대통령령으로,판단불가,대통령령,3,문장이 불완전하여 규율권한 이전 여부를 명확히 판단할 수 없음 — 다만 표지어구가 '대통령령'이므로 법형식은 대통령령으로 표기함.
